lon,lat,flaeche,kaltmiete,europrom2
12.3427198,51.3294406,263.96,1974.00,7.4784058190635
12.3730056,51.3538143,696.97,5965.00,8.5584745397937
12.40132,51.38145,323.13,1469.78,4.5485717822548
12.3772654,51.3412055,299.54,1857.00,6.1995059090606
12.3413056,51.3298298,168.45,1016.00,6.0314633422381
12.3897705,51.364101,196.27,1240.00,6.3178274825495
12.410731,51.3500308,929.00,5338.00,5.745963401507
12.40024,51.33011,444.27,2547.00,5.7330002025795
12.3269148,51.3201663,198.30,1000.00,5.0428643469491
12.3997,51.33754,666.76,3220.00,4.8293238946547
12.3285004,51.3335928,233.50,1130.00,4.8394004282655
12.3690843,51.3609297,213.38,1098.00,5.1457493673259
12.41613937064,51.3231723,323.00,1601.00,4.9566563467492
12.4890231,51.336723,278.28,1490.00,5.3543193905419
12.39952,51.37538,241.18,1311.00,5.4357741106228
12.4137222,51.3244889,254.36,1896.00,7.454002201604
12.3794357298512,51.3093533,366.98,2018.00,5.4989372717859
12.374124,51.350809,962.83,5943.00,6.1724291931078
12.4128308,51.3242533,233.25,1216.00,5.2132904608789
12.43032,51.34099,141.00,803.00,5.6950354609929
12.3980886,51.345858,221.00,967.00,4.3755656108597
12.3683514,51.3398208,379.51,1984.00,5.2277937340255
12.3807622,51.3111413,316.00,1790.00,5.6645569620253
12.33495,51.33152,441.00,2340.00,5.3061224489796
12.275737,51.3842677,219.00,985.00,4.4977168949772
12.408847380988,51.35625735,205.47,1000.00,4.8668905436317
12.372574768358,51.3653313,214.00,1226.00,5.7289719626168
12.402276417603,51.324379,263.00,1734.00,6.5931558935361
12.2891335,51.3229038,789.30,3258.27,4.1280501710376
12.346857759108,51.3673081,177.44,970.00,5.4666366095582
12.3247376,51.32325,691.08,3364.00,4.8677432424611
12.325089,51.33604175,167.98,880.00,5.2387188951066
12.3715183,51.3180361,162.00,1039.00,6.4135802469136
12.4709552,51.3581771,757.12,4532.05,5.9859071217244
12.3737296,51.3295752,256.00,1612.00,6.296875
12.36503,51.36371,203.00,1189.00,5.8571428571429
12.3927273,51.3340063,313.96,3468.45,11.047426423748
12.3231176,51.3154016,254.00,1764.00,6.9448818897638
12.40535076873,51.344788972279,184.99,852.76,4.6097626898751
12.3591854083689,51.36131735,259.02,1674.00,6.4628214037526
12.36359,51.36926,169.11,1030.00,6.0907101886346
12.3318043,51.3219679,103.00,832.00,8.0776699029126
12.36287,51.369,377.50,2506.49,6.6397086092715
12.36377,51.34218,207.00,1579.50,7.6304347826087
12.3049984,51.3207237,292.61,1560.50,5.3330371484228
12.42564,51.34285,213.00,1270.70,5.9657276995305
12.3158125641972,51.33099185,225.69,1064.25,4.7155390136913
12.36323,51.36996,384.39,2255.00,5.8664377325113
12.4094922,51.3572494,403.20,2310.00,5.7291666666667
12.3626,51.37178,378.00,2353.00,6.2248677248677
12.4303283,51.3433586,497.17,2173.54,4.3718245268218
12.33081,51.33123,176.50,1210.00,6.8555240793201
12.4284727,51.297374,338.81,1970.00,5.81446828606
12.3309,51.3706,535.01,2961.00,5.534475991103
12.404603701873,51.33215975,92.00,485.00,5.2717391304348
12.36242,51.37039,267.34,1635.00,6.1158075858457
12.42348,51.31499,791.06,5758.13,7.2790053851794
12.4147561202022,51.37606515,359.35,1519.34,4.2280228189787
12.3888890643362,51.3262291,233.03,1114.28,4.7817019267905
12.4027981,51.2867527,143.52,792.00,5.5183946488294
12.2884519,51.3548354,304.71,1684.00,5.5265662433133
12.3815676,51.3758573,166.00,720.00,4.3373493975904
12.39115,51.33898,303.63,2059.00,6.7812798471824
12.3848503,51.3327305,168.42,1050.00,6.2344139650873
12.3620385,51.3438682,392.81,2749.67,7
12.349337298545,51.3684377,253.98,1308.00,5.1500118119537
12.421684285665,51.32125325,316.00,1478.00,4.6772151898734
12.3632684,51.3441314,444.70,2420.00,5.4418709242186
12.4097748,51.3410274,645.16,5462.40,8.4667369334739
12.3742736,51.3643755,177.37,1256.00,7.0812426002142
12.42168,51.3194,267.00,1730.00,6.4794007490637
12.42033,51.33498,458.76,2645.00,5.7655418955445
12.41721954362,51.333058033416,253.99,1269.00,4.9962596952636
12.3634226,51.3618699,202.00,1365.50,6.759900990099
12.3935241,51.3646869,187.80,1065.00,5.6709265175719
12.404255,51.3417865,328.54,1565.00,4.7634991173069
12.4090505,51.3459593,197.00,877.00,4.4517766497462
12.42015,51.33364,302.00,1625.00,5.3807947019868
12.384180511695,51.3296191,223.00,1184.00,5.3094170403587
12.4073577,51.3448215,1364.03,6539.00,4.793882832489
12.2642256,51.3143516,1170.01,4900.22,4.188186425757
12.4107946,51.3565366,188.00,1102.00,5.8617021276596
12.3242443,51.3765951,152.54,860.00,5.6378654779074
12.4717947,51.3594804,235.00,1500.00,6.3829787234043
12.4060977,51.3370214,421.00,2418.00,5.7434679334917
12.4298866,51.3431444,576.82,3749.33,6.5
12.3618668,51.3812067,178.84,973.00,5.4406173115634
12.2750574265643,51.3196777,180.26,971.84,5.3913236436259
